维度,深度,链长,均值,标准差
10,1.0,50,1.0048814157488004,1.091846473069765
10,1.0,100,0.4302112566723763,1.2733004216195705
10,1.0,150,0.14330453652046493,1.2677588786388874
10,1.0,200,0.08890502755252175,1.2242761340629411
10,1.0,250,0.06637244408433572,1.189497531025743
10,2.0,50,0.5401792394446319,1.1411795407493737
10,2.0,100,0.4059379736775205,1.1060753824340084
10,2.0,150,0.36552122136630244,1.1165744630329342
10,2.0,200,0.23506259670341104,1.1249149092283544
10,2.0,250,0.25890884642453593,1.0675285723133168
10,3.0,50,0.6711747991272892,1.1566482189750233
10,3.0,100,0.3094397982456153,1.0591145563362694
10,3.0,150,0.23561400098884708,1.0811559678434854
10,3.0,200,0.113619629603392,1.0839947058509427
10,3.0,250,0.11035641822581149,1.0729038869255074
10,4.0,50,0.34636923421492766,1.058524157189781
10,4.0,100,0.23283071957520948,0.9769785964848469
10,4.0,150,0.24161665213718697,0.9256405930199076
10,4.0,200,0.1612189448674526,0.9667556907389258
10,4.0,250,0.07721480714135684,0.9781604691187342
10,5.0,50,0.2291379363676851,1.4028495243041028
10,5.0,100,0.19026810241320793,1.1926149937598065
10,5.0,150,0.15719663171228027,1.1407651938733554
10,5.0,200,0.11443711448253915,1.0980515844416245
10,5.0,250,0.10829517732200157,1.0635510771155607
20,1.0,50,1.9206157037354126,1.1413905370381703
20,1.0,100,1.1660794915273562,1.3634253199258546
20,1.0,150,0.757952801641567,1.3765525340275446
20,1.0,200,0.5340054494233675,1.3581966177335045
20,1.0,250,0.4319089308790873,1.3140333083247366
20,2.0,50,1.2532713102025355,1.323168618593528
20,2.0,100,0.7098095053493448,1.319796386834242
20,2.0,150,0.5960928634636683,1.2333963596892625
20,2.0,200,0.5408473756287469,1.1698026281078544
20,2.0,250,0.4235072507739147,1.1393275536937921
20,3.0,50,1.130866651281639,1.4660993720340658
20,3.0,100,0.6597328833097762,1.3354214470757657
20,3.0,150,0.44797498539622876,1.285365816651858
20,3.0,200,0.34030594768836614,1.21621400840016
20,3.0,250,0.2890811057245675,1.170294679322215
20,4.0,50,0.6794922293482842,1.2438083577118306
20,4.0,100,0.268709388158902,1.1422299875361448
20,4.0,150,0.20708394023437973,1.0785395305469756
20,4.0,200,0.1954832410733741,1.067778645917039
20,4.0,250,0.16617327747305957,1.0498498166150985
20,5.0,50,0.2776760278655183,1.281600970078786
20,5.0,100,0.08694524451051945,1.1607046162015386
20,5.0,150,0.09421843672584583,1.121050055297665
20,5.0,200,0.068441156092393,1.1110294594218528
20,5.0,250,0.08655502267240228,1.0852686203063988
40,1.0,50,1.5424694962273742,1.5560484506784198
40,1.0,100,1.1507539642368485,1.7220192429623957
40,1.0,150,0.9044226722812462,1.762945393436733
40,1.0,200,0.6788513220892952,1.7468392136574664
